SampleID,CollectionDate,SwabType,Species,SampleType,Specimen,ExtractionKit,ExtractionKitAbb,ExtractionDate,ElutionVolume,elution1conc,elution2con,combinedcon_est
PSP6,2021-01-12,sea star,Dermasterias imbricata,seastar,6,DNeasy PowerSoil Pro Kit,Q.PSP,2021-01-19,50,0.539,0.051,0.3
PSP7,2021-01-12,sea star,Pisaster ochraceus,seastar,7,DNeasy PowerSoil Pro Kit,Q.PSP,2021-01-19,50,6.67,0.385,3.53
PSP8,2021-01-12,sea star,Pisaster ochraceus,seastar,8,DNeasy PowerSoil Pro Kit,Q.PSP,2021-01-19,50,13.8,0.813,7.31
PSP9,2021-01-12,sea star,Dermasterias imbricata,seastar,9,DNeasy PowerSoil Pro Kit,Q.PSP,2021-01-19,50,0.669,0.05,NA
PSP10,2021-01-12,sea star,Pisaster ochraceus,seastar,10,DNeasy PowerSoil Pro Kit,Q.PSP,2021-01-19,50,3.37,0.15,1.76
PSP11,2020-10-27,sea star,Pisaster ochraceus,seastar,11,DNeasy PowerSoil Pro Kit,Q.PSP,2021-01-19,50,46.5,5.95,26.23
PSP12,NA,extraction neg,Negative,negative,ExNeg,DNeasy PowerSoil Pro Kit,Q.PSP,2021-01-19,50,0.05,0.05,NA
ZYMO1,2021-01-12,sea star,Pisaster ochraceus,seastar,1,ZymoResearch MicroPrep Kit,ZYMO,2021-02-16,20,2.61,0.523,1.57
ZYMO2,2021-01-12,sea star,Pisaster ochraceus,seastar,2,ZymoResearch MicroPrep Kit,ZYMO,2021-02-16,20,3.6,0.628,2.11
ZYMO3,2021-01-12,sea star,Dermasterias imbricata,seastar,3,ZymoResearch MicroPrep Kit,ZYMO,2021-02-16,20,0.325,0.057,0.19
ZYMO4,2021-01-12,sea star,Pisaster ochraceus,seastar,4,ZymoResearch MicroPrep Kit,ZYMO,2021-02-16,20,3.41,0.372,1.89
ZYMO5,2021-01-12,sea star,Pisaster ochraceus,seastar,5,ZymoResearch MicroPrep Kit,ZYMO,2021-02-16,20,1.74,0.192,0.97
ZYMO6,2021-01-12,sea star,Dermasterias imbricata,seastar,6,ZymoResearch MicroPrep Kit,ZYMO,2021-02-16,20,0.586,0.057,0.32
ZYMO7,2021-01-12,sea star,Pisaster ochraceus,seastar,7,ZymoResearch MicroPrep Kit,ZYMO,2021-02-16,20,0.747,0.359,0.55
ZYMO8,2021-01-12,sea star,Pisaster ochraceus,seastar,8,ZymoResearch MicroPrep Kit,ZYMO,2021-02-16,20,4.73,0.974,2.85
ZYMO9,2021-01-12,sea star,Dermasterias imbricata,seastar,9,ZymoResearch MicroPrep Kit,ZYMO,2021-02-16,20,0.05,0.05,NA
ZYMO10,2021-01-12,sea star,Pisaster ochraceus,seastar,10,ZymoResearch MicroPrep Kit,ZYMO,2021-02-16,20,6.05,1.03,3.54
ZYMO11,2020-10-27,sea star,Pisaster ochraceus,seastar,11,ZymoResearch MicroPrep Kit,ZYMO,2021-02-16,20,1.34,1.88,1.61
ZYMO12,NA,extraction neg,Negative,negative,ExNeg,ZymoResearch MicroPrep Kit,ZYMO,2021-02-16,20,0.05,0.05,NA
PCRNeg,PCRNeg,PCRNeg,PCRNeg,negative,PCRNeg,PCRNeg,PCRNeg,NA,0,0,0,0
